link,title,price,summary_description,location,ownership,floor_level,is_furnished,building_type,square_meters,number_of_rooms,rent
https://www.olx.pl/d/oferta/poborzanska-nowy-blok-2-pokoje-metro-brodno-targowek-warszawa-CID3-IDQz7OI.html,Poborzańska nowy blok 2 pokoje metro Bródno Targówek Warszawa,3 150 zł,"OpisMieszkanie dostępne do zamieszkania.

Oferuję do wynajęcia umeblowane 2 pokojowe mieszkanie w nowym budownictwie (blok z 2016 roku) na strzeżonym, cichym, kameralnym i bardzo zadbanym osiedlu tuż obok Parku Bródnowskiego. 
 Z balkonu jest widok na park. Mieszkanie znajduje się na 4 piętrze (przedostatnim) i składa się z dwóch oddzielnych zamykanych pokoi (salonu i sypialni), oddzielnej kuchni, przedpokoju oraz łazienki. Zarówno z salonu jak z kuchni są wyjścia na przestronny wygodny balkon.

W salonie znajduje się skórzana rozkładana kanapa z funkcją spania, skórzany hoker, stół wraz z 4 krzesłami, dwie szafki z półkami, komoda, telewizor.
Kuchnia umeblowa  i w pełni wyposażona w sprzęt AGD tj.: duża lodówka z zamrażarką w zabudowie, płyta indukcyjna, okap z wyciągiem, zmywarka, piekarnik elektryczny.
Łazienka w pełni wyposażona: wygodna wanna z częściowym parawanem, lustro, umywalka, podwieszany wc oraz pralka.
W przedpokoju zabudowana pojemna szafa wnękowa z lustami, głęboki pojemny pawlacz, wieszak na ubrania, szafka na buty.
Sypialnia - szafka z półkami, duże łóżko wraz z materacem.

Mieszkanie znajduje się w doskonale skomunikowanej lokalizacji skrzyżowanie ulic Rembielińska / Poborzańska. Dojście do stacji metra Bródno zajmie zalednie 3 minuty pieszo. W pobliżu również przystanek tramwajowy.
W sąsiedztwie osiedla znajduje się Park Bródnowski, Centrum Handlowe Renova, bazarek, kościół. Na osiedlu plac zabaw dla dzieci. Tuż obok osiedla tereny rekreacyjne w Parku Bródnowskim. 

Cena najmu: 3 150 zł/m-c + czynsz administracyjny 650 zł/ m-c + opłaty za media według zużycia (prąd, woda, wywóz śmieci) tj. ok. 300 zł/m-c
Kaucja zwrotna w wysokości - 4 000 zł.","Mazowieckie, Warszawa, Targówek",Prywatne,Poziom: 4,Umeblowane: Tak,Rodzaj zabudowy: Blok,Powierzchnia: 46 m²,Liczba pokoi: 2 pokoje,Czynsz (dodatkowo): 650 zł
https://www.olx.pl/d/oferta/kawalerka-34m-umeblowane-jednopokojowe-warszawa-wilanow-CID3-IDOT1Rx.html,"Kawalerka 34m, umeblowane, jednopokojowe, Warszawa Wilanów",3 100 zł,"OpisKawalerka 34m, umeblowane, jednopokojowe, Warszawa Wilanów 

Warszawa Wilanów – kawalerka , ul. Bruzdowa 
Okres najmu - rok.
Również możliwość wynajmu na pojedyncze dni i tygodnie.

BEZ POŚREDNIKÓW !   BEZ PROWIZJI ! 

Bezpośrednio, do wynajęcia kawalerka o powierzchni 34m2, na okres roku z możliwością przedłużenia, Wilanów, ul. Bruzdowa 96.

Kompletnie umeblowana i wyposażona (AGD, RTV) kawalerka, z aneksem kuchennym i wydzieloną częścią sypialną, dużą łazienką z wanną.

Mieszkanie jest umeblowane i wyposażone: aneks kuchenny - AGD (kuchenka elektryczna, lodówka), garnki, naczynia, sztućce; pokój dzienny – fotele, stolik, TV LCD, miejsce do pracy; aneks sypialny – 1 łóżko podwójne, pościel; łazienka z wanną. Ogrzewanie elektryczne. Mieszkanie przeznaczone jest dla 2 osób.
Dostępne od zaraz.

Mieszkanie położone jest na spokojnym, monitorowanym osiedlu, w warszawskim Wilanowie. Zieleń, cisza i spokój, gwarantują udany wypoczynek i dobre samopoczucie. W pobliżu centrum handlowe, liczne obiekty rekreacyjno-sportowe. Na terenie osiedla znajduje się całodobowa recepcja. 

Opłaty miesięcznie: opłata za najem: 3100zł + opłaty (woda, wywóz nieczystości) + energia elektryczna – wg licznika. Kaucja zwrotna 3500zł. W cenie – Internet, TV, parking. 
Możliwość zamówienia usług: sprzątania, serwisu technicznego. 

Wystawiamy faktury, nie pobieramy prowizji. 

Więcej informacji pod numerem telefonu: 60*******40,  60*******27
zapraszam serdecznie.","Mazowieckie, Warszawa, Wilanów",Firmowe,Poziom: 1,Umeblowane: Tak,Rodzaj zabudowy: Apartamentowiec,Powierzchnia: 30 m²,Liczba pokoi: Kawalerka,Czynsz (dodatkowo): 200 zł
https://www.olx.pl/d/oferta/lopuszanska-55-2-pokoje-nowe-osiedle-meble-garaz-CID3-IDY8oMi.html,"Łopuszańska 55, 2 pokoje, NOWE osiedle, meble,garaż",3 200 zł,"OpisSuper mieszkanie w dobrym miejscu , blisko duże centrum handlowe ""Modo"", przy ul. Łopuszańskiej 22. Bardzo dobra komunikacja: autobusy, blisko tramwaj , a także kolejka WKD.   Wygodny dojazd do centrum Warszawy . 2  pokoje, aneks  kuchenny, łazienka, balkon . W salonie kanapa rozkładana, w sypialni  wygodne, 2 osobowe łóżko z materacem. Kuchnia w pełni wyposażona, ze zmywarką, płytą indukcyjną, lodówką, piekarnikiem, łazienka z wanną i opcją  prysznica i pralką. Cena mieszkania 3200,- plus opłaty za wodę, c.o. , prąd i wywóz nieczystości. Miejsce postojowe zewnętrzne dodatkowo płatne 200 zł Ciche, okna od wewnętrznej strony, z widokiem na ładnie zagospodarowane patio. Najem okazjonalny. Kaucja miesięczna. Wolne od 01.03 24
Zapraszam do obejrzenia.  Kontakt 60*******17 
Oferta Biura Nieruchomości ""Sigma""","Mazowieckie, Warszawa, Włochy",Firmowe,Poziom: 3,Umeblowane: Tak,Rodzaj zabudowy: Apartamentowiec,Powierzchnia: 40 m²,Liczba pokoi: 2 pokoje,Czynsz (dodatkowo): 1 zł
https://www.olx.pl/d/oferta/warszawa-38m2-wynajme-CID3-IDYy3rC.html,Warszawa 38m2 wynajme,1 600 zł,"OpisNowoczesny, umeblowany i dobrze wyposażony apartament, na cichym, strzeżonym i zagospodarowanym osiedlu Skanska. Blisko do środków komunikacji, szkół, przedszkoli, sklepów i punktów usługowych. Dwie stacje metra w odległości kilkuset metrów Szybki wyjazd na trasę S8. Na terenie osiedla place zabaw i rekreacji. Blisko park ""Stawy Kellera""z jeziorkiem i ogródkiem zabaw dla dzieci. Miejsce parkingowe w garażu podziemnym w cenie. Opłaty dodatkowe za media (woda, ogrzewanie, elektryczność, internet) wg wskazań liczników, oraz czynsz administracyjny. Opis mieszkania: W sypialni wygodne łóżko szerokości 1,6m  oraz szafa z szufladami, wieszakami oraz miejscem do schowania sprzętu domowego. W łazience duży prysznic walk-in, pralka oraz duża umywalka. W salonie duża, wygodna rozkładana kanapa która może być dodatkowym miejscem do noclegu dla 2-ch osób. W apartamencie jest pełne wyposażenie w sprzęty AGD, suszarkę na bieliznę, żelazko, oraz komplet sztućców, talerzy, szklanek, garnków dla 6 osób. Nowoczesny 55” telewizor podłączony do anteny telewizji naziemnej , z możliwością podłączenia kablówki.
NOE WYNAJMUJE PAROM WYNAJEM DLA JEDNEJ OSOBY
MILE WIDZIANE OSOBY POCHODZENIA UKRAINSKIEGO","Mazowieckie, Warszawa, Bielany",Prywatne,Poziom: 2,Umeblowane: Tak,Rodzaj zabudowy: Blok,Powierzchnia: 38 m²,Liczba pokoi: 2 pokoje,Czynsz (dodatkowo): 350 zł
https://www.olx.pl/d/oferta/od-1-lutego-bezposrednio-kawalerka-na-wynajem-metro-ksiecia-janusza-CID3-IDXZdFI.html,"Od 1 lutego, bezpośrednio kawalerka na wynajem, metro Księcia Janusza",2 500 zł,"OpisBEZPOŚREDNIO. Do wynajęcia od 1 lutego przytulna kawalerka 17m2 dla jednej osoby (niepalącej i bez zwierząt!), składająca się z pokoju z aneksem kuchennym i łazienki z wc. Kawalerka jest po generalnym remoncie.

WYPOSAŻENIE:

Na wyposażeniu znajduje się wszystko co jest potrzebne do normalnego funkcjonowania. W pokoju mamy rozkładane łóżko, dużą szafę, biurko z lampką, półki, stojącą lampę oraz stolik. Aneks kuchenny wyposażony jest w kuchenkę mikrofalową, płytę indukcyjną, czajnik elektryczny, okap, szafki stojące i wiszące, ociekacz na umyte rzeczy, garnki i patelnia (przystosowane do kuchenki indykcyjnej), sztućce, talerzyki, miski oraz kubki.
W łazience znajdują się: prysznic, umywalka z lustrem i wc. W mieszkaniu jest też oczywiście lodówka oraz pralka i suszarka na pranie. W oknach zamontowane są rolety zaciemniające. Ozdobę okien stanowią firany i zasłony.

LOKALIZACJA:

Kawalerka zlokalizowana jest na 3p (z 10) w bloku na Woli, przy ulicy Księcia Janusza, w odległości ok 150m od Uczelni WIT Szkoła Wyższa pod auspicjami PAN.
W bloku jest winda oraz domofon. W bliskiej odległości znajduje się Park im. Księcia Janusza oraz Lasek na Kole, a także Park Moczydło. Nieco dalej znajdziemy Park Edwarda Szymańskiego z fontanną oraz Park Józefa Sowińskiego z tężnią.

KOMUNIKACJA:

Do metra ok 500m (5 minut) piechotą - stacja metra Księcia Janusza.
Do tramwaju ok 200m (2 minuty) piechotą. Linie 20,23,24.
Do autobusu ok 200m (2 minuty) piechotą do linii 184, 197, 204, 397, N45, N96.
Do autobusu ok 500m (5 minut) piechotą do linii: 109, 154, 171, 190, 523, N43.

SKLEPY:

Ok 30 metrów od klatki schodowej znajduje się sklep Żabka. Ok 100 od bloku są 2 sklepy Carrefour Express. Galeria Wola Park oddalona jest o 10 minut piechotą (sklepy, restauracje, kino).

DLA KOGO:

Dla jednej młodej i pracującej osoby, ceniącej spokój i porządek. Bez zwierząt.

OKRES NAJMU:

Mieszkanie wolne od 1 lutego. Umowa do dnia 30.09.2024 z możliwością przedłużenia o kolejny rok.

OPŁATY:

Czynsz najmu wynosi 2000 PLN + opłata ryczałtowa za media (prąd, woda, ogrzewanie, wywóz śmieci) w wysokości 500 PLN = 2500 PLN / miesięcznie dla 1 osoby
Kaucja zwrotna w wysokości 3000 PLN
W cenie szybki internet 300Mb/s.

KONTAKT:
Kontakt do Właściciela: 5  0  1  2  8  0  4  4  0","Mazowieckie, Warszawa, Wola",Prywatne,Poziom: 3,Umeblowane: Tak,Rodzaj zabudowy: Blok,Powierzchnia: 17 m²,Liczba pokoi: Kawalerka,Czynsz (dodatkowo): 1 zł
https://www.olx.pl/d/oferta/wynajme-bezposrednio-mieszkanie-dwupokojowe-praga-polnoc-CID3-IDR17AO.html,wynajmę bezpośrednio mieszkanie dwupokojowe  Praga Północ,3 800 zł,"OpisDwupokojowe mieszkanie w świetnie skomunikowanej części Pragi w budynku usytuowanym w drugiej linii zabudowy w otoczeniu zieleni i zabytkowych kamienic. Budynek oddany do użytkowania w sierpniu 2022 roku. Mieszkanie znajduje się na pierwszym  piętrze, wnętrze mieszkania to praktyczny i przestrzenny rozkład pomieszczeń: salon z aneksem kuchennym, sypialnia, łazienka i balkon. Na dachu budynku jest przepiękny, zielony ogród dostępny dla relaksu mieszkańców.
Mieszkanie w pełni umeblowane, wykończone wysokiej jakości materiałami, szafy i kuchnia pod wymiar w zabudowie. W wyposażeniu lodówka z zamrażalnikiem, piekarnik, płyta indukcyjna, okap, zmywarka, pralka. 
W bliskiej odległości budynku Dworzec Wschodni, stacja metra Warszawa Wileńska oraz stacja metra Szwedzka. Przystanki m.in. linii autobusowych 170 i 338 oraz tramwajowych 7 i 13. 
W pobliżu między innymi Centrum Handlowe Warszawa Wileńska, Centrum Koneser, Park Skaryszewski, liczne sklepy i restauracje, warszawskie ZOO.
Mieszkanie dostępne od zaraz . Idealnie dla singla lub pary. 

Cena: 3800 PLN najem +  media według indywidualnego zużycia . Wymagana jest kaucja w wysokości 6000 PLN.
W mieszkaniu jest internet w cenie czynszu.
Umowa najmu okazjonalnego na minimum rok. 
Jeśli chcesz zostać najemcą przytulnego mieszkania , zapraszam do kontaktu i oglądania mieszkania.

Ogłoszenie bezpośrednie.

*Nie akceptujemy zwierząt.
*Agencjom i biurom nieruchomości dziękuję za współpracę.","Mazowieckie, Warszawa, Praga-Północ",Prywatne,Poziom: 1,Umeblowane: Tak,Rodzaj zabudowy: Apartamentowiec,Powierzchnia: 40 m²,Liczba pokoi: 2 pokoje,Czynsz (dodatkowo): 85 zł
