complete_address,city,price_total,price,rent,rent_sqm,sqm,is_furnished,coords
"al. Józefa Piłsudskiego, Kasprzak, Gołonóg Południowy, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",2140.0,1600.0,540.0,42.8,50.0,True,"(50.3389838, 19.2295645)"
"al. Zwycięstwa, Centrum / Śródmieście, Sosnowiec, śląskie","Sosnowiec, śląskie",2300.0,1850.0,450.0,69.7,33.0,True,"(50.27895, 19.1263859)"
"Zagórze Północ, Sosnowiec, śląskie","Sosnowiec, śląskie",2600.0,2400.0,200.0,57.78,45.0,True,"(50.27895, 19.1263859)"
"Gołonóg, Gołonóg Północny, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",2200.0,2200.0,,40.74,54.0,True,"(50.3439791, 19.2262024)"
"Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",2501.0,2500.0,1.0,50.02,50.0,False,"(50.286407, 19.1222479)"
"Piekary Śląskie, śląskie","Piekary Śląskie, śląskie",1490.0,1490.0,,33.11,45.0,True,"(50.3686217, 18.9290798)"
"ul. Mariacka 12, Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",1750.0,1100.0,650.0,67.31,26.0,True,"(50.27895, 19.1263859)"
"ul. Józefa Skalskiego 10, Będzin, będziński, śląskie","będziński, śląskie",2400.0,1700.0,700.0,57.14,42.0,True,"(50.32773995, 19.109942801611645)"
"Sielec, Sosnowiec, śląskie","Sosnowiec, śląskie",1300.0,1300.0,,35.14,37.0,True,"(50.2761303, 19.1408973)"
"ul. Bohaterów Monte Cassino, Zagórze Południe, Sosnowiec, śląskie","Sosnowiec, śląskie",2048.0,1500.0,548.0,62.06,33.0,True,"(50.27895, 19.1263859)"
"Siewierz, Siewierz, będziński, śląskie","będziński, śląskie",2500.0,2000.0,500.0,71.43,35.0,True,"(50.47924, 19.2374613)"
"Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",950.0,750.0,200.0,23.17,41.0,True,"(50.286407, 19.1222479)"
"Klimontów, Sosnowiec, śląskie","Sosnowiec, śląskie",1080.0,1080.0,,22.98,47.0,False,"(50.2810071, 19.19456500889759)"
"ul. 3 Maja, Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",1610.0,1300.0,310.0,35.0,46.0,True,"(50.27895, 19.1263859)"
"ul. Władysława Reymonta 3, Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",2650.0,2200.0,450.0,71.62,37.0,True,"(50.27895, 19.1263859)"
"ul. Bohaterów Monte Cassino, Zagórze Południe, Sosnowiec, śląskie","Sosnowiec, śląskie",1840.0,1190.0,650.0,49.73,37.0,False,"(50.27895, 19.1263859)"
"ul. Jana Sobieskiego, Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",2060.0,1450.0,610.0,62.42,33.0,False,"(50.27895, 19.1263859)"
"ul. Szpaków, Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",2273.0,1350.0,923.0,40.59,56.0,False,"(50.27895, 19.1263859)"
"Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",2500.0,2500.0,,19.23,130.0,False,"(50.286407, 19.1222479)"
"ul. Staropogońska, Pogoń, Sosnowiec, śląskie","Sosnowiec, śląskie",2500.0,1900.0,600.0,67.57,37.0,True,"(50.27895, 19.1263859)"
"ul. Stanisława Małachowskiego 46, Będzin, będziński, śląskie","będziński, śląskie",1001.0,1000.0,1.0,45.5,22.0,True,"(50.32773995, 19.109942801611645)"
"Klimontów, Sosnowiec, śląskie","Sosnowiec, śląskie",1327.0,1327.0,,22.88,58.0,False,"(50.2810071, 19.19456500889759)"
"Śródmieście, Śródmieście, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",2420.0,1790.0,630.0,52.61,46.0,True,"(50.330374, 19.1848234)"
"Piekary Śląskie, śląskie","Piekary Śląskie, śląskie",3408.0,3200.0,208.0,52.43,65.0,True,"(50.3686217, 18.9290798)"
"ul. 1 Maja, Reden-Adamiecki, Reden, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",1800.0,1600.0,200.0,47.37,38.0,False,"(50.330374, 19.1848234)"
"ul. Jana Kilińskiego, Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",2200.0,2200.0,,42.31,52.0,False,"(50.27895, 19.1263859)"
"ul. Marii Curie-Skłodowskiej, Piekary Śląskie, śląskie","Piekary Śląskie, śląskie",2050.0,1500.0,550.0,34.17,60.0,True,"(50.3686217, 18.9290798)"
"ul. Partyzantów, Będzin, będziński, śląskie","będziński, śląskie",1960.0,1400.0,560.0,56.0,35.0,True,"(50.32773995, 19.109942801611645)"
"ul. Graniczna, Dziewiąty, Zielona Pogoria, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",2500.0,2500.0,,50.0,50.0,True,"(50.330374, 19.1848234)"
"ul. Kalinowa, Dańdówka, Sosnowiec, śląskie","Sosnowiec, śląskie",1799.0,999.0,800.0,41.84,43.0,True,"(50.27895, 19.1263859)"
"Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",2050.0,1600.0,450.0,51.25,40.0,True,"(50.2822072, 19.1189568)"
"ul. Graniczna, Dziewiąty, Zielona Pogoria, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",5001.0,5000.0,1.0,68.51,73.0,False,"(50.330374, 19.1848234)"
"al. Tadeusza Kościuszki 7, Śródmieście, Śródmieście, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",1250.0,1250.0,,33.78,37.0,True,"(50.330374, 19.1848234)"
"ul. Graniczna, Dziewiąty, Zielona Pogoria, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",4001.0,4000.0,1.0,62.52,64.0,False,"(50.330374, 19.1848234)"
"ul. Klimontowska, Sielec, Sosnowiec, śląskie","Sosnowiec, śląskie",3100.0,2600.0,500.0,75.61,41.0,True,"(50.27895, 19.1263859)"
