complete_address,city,price_total,price,rent,sqm,is_furnished,coords
"Sielec, Sosnowiec, śląskie","Sosnowiec, śląskie",1776.0,1200.0,576.0,35,False,"(50.2820814, 19.1416344)"
"al. Tadeusza Kościuszki, Śródmieście, Śródmieście, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",1501.0,1500.0,1.0,25,True,"(50.3256858, 19.1866969)"
"Osiedle Witosa, Katowice, śląskie","Katowice, śląskie",1600.0,1600.0,,25,True,"(50.263006250000004, 18.970791676136464)"
"Śródmieście, Bytom, śląskie","Bytom, śląskie",1500.0,1500.0,,45,True,"(50.35454355, 18.906154962392353)"
"ul. Tysiąclecia, Stroszek - Dąbrowa Miejska, Bytom, śląskie","Bytom, śląskie",1650.0,1650.0,,38,True,"(50.3470387, 18.9231857)"
"ul. Jagiellońska, Śródmieście, Katowice, śląskie","Katowice, śląskie",1600.0,1600.0,,40,False,"(50.2598987, 19.0215852)"
"Śródmieście, Bytom, śląskie","Bytom, śląskie",3080.0,2500.0,580.0,138,True,"(50.35454355, 18.906154962392353)"
"ul. Błękitna, Dąb, Katowice, śląskie","Katowice, śląskie",1850.0,1500.0,350.0,25,True,"(50.2598987, 19.0215852)"
"ul. Barbary, Śródmieście, Katowice, śląskie","Katowice, śląskie",2700.0,2500.0,200.0,34,False,"(50.2598987, 19.0215852)"
"Śródmieście, Śródmieście, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",2200.0,1800.0,400.0,50,False,"(50.369624, 19.289046489684473)"
"Dąb, Katowice, śląskie","Katowice, śląskie",3500.0,3500.0,,46,True,"(50.271163, 18.9990507)"
"ul. Johna Baildona 2, Dąb, Katowice, śląskie","Katowice, śląskie",2900.0,2900.0,,45,True,"(50.2598987, 19.0215852)"
"ul. Ignacego Mościckiego, Centrum / Śródmieście, Sosnowiec, śląskie","Sosnowiec, śląskie",1650.0,1300.0,350.0,20,True,"(50.271229500000004, 19.215561953947084)"
"Załęska Hałda-Brynów, Katowice, śląskie","Katowice, śląskie",4200.0,4200.0,,76,True,"(50.2528384, 18.978335)"
"ul. Chorzowska 214, Śródmieście, Katowice, śląskie","Katowice, śląskie",3305.0,2500.0,805.0,46,True,"(50.2598987, 19.0215852)"
"ul. Leszno 1b, Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",1190.0,1190.0,,29,False,"(50.271229500000004, 19.215561953947084)"
"ul. Warszawska 10, Centrum / Śródmieście, Sosnowiec, śląskie","Sosnowiec, śląskie",1690.0,1690.0,,55,False,"(50.271229500000004, 19.215561953947084)"
"ul. Warszawska 10, Centrum / Śródmieście, Sosnowiec, śląskie","Sosnowiec, śląskie",1750.0,1750.0,,60,False,"(50.271229500000004, 19.215561953947084)"
"ul. Karola Szymanowskiego 44, Zagórze Północ, Sosnowiec, śląskie","Sosnowiec, śląskie",2200.0,2200.0,,58,True,"(50.271229500000004, 19.215561953947084)"
"ul. Długa, Chorzów Batory, Chorzów, śląskie","Chorzów, śląskie",3000.0,3000.0,,56,True,"(50.288556299999996, 18.97044253093511)"
"Koszutka, Katowice, śląskie","Katowice, śląskie",1500.0,1500.0,,38,True,"(50.2710047, 19.0194372)"
"Załęże, Katowice, śląskie","Katowice, śląskie",1860.0,1200.0,660.0,40,True,"(50.2660968, 18.9940596)"
"ul. Tadeusza Kościuszki, Piotrowice-Ochojec, Katowice, śląskie","Katowice, śląskie",1050.0,1050.0,,12,True,"(50.2598987, 19.0215852)"
"ul. Żwirki i Wigury, Śródmieście, Katowice, śląskie","Katowice, śląskie",3500.0,3500.0,,90,True,"(50.2598987, 19.0215852)"
"ul. Nomiarki, Chorzów II, Chorzów, śląskie","Chorzów, śląskie",2450.0,2200.0,250.0,28,True,"(50.288556299999996, 18.97044253093511)"
"Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",3000.0,2300.0,700.0,56,False,"(50.2774664, 18.9730155)"
"ul. Wojewódzka 25, Śródmieście, Katowice, śląskie","Katowice, śląskie",2950.0,2000.0,950.0,47,True,"(50.2598987, 19.0215852)"
"Śródmieście, Katowice, śląskie","Katowice, śląskie",3750.0,3000.0,750.0,44,True,"(50.259795, 19.0217063)"
"ul. Stanisława Moniuszki, Śródmieście, Katowice, śląskie","Katowice, śląskie",3400.0,2600.0,800.0,52,True,"(50.2598987, 19.0215852)"
"Piekary Śląskie, śląskie","Piekary Śląskie, śląskie",2500.0,2500.0,,52,False,"(50.3840312, 18.9456429)"
"Piotrowice-Ochojec, Katowice, śląskie","Katowice, śląskie",2100.0,1300.0,800.0,26,True,"(50.2101785, 18.9829535)"
"ul. gen. Józefa Hallera, Szopienice-Burowiec, Katowice, śląskie","Katowice, śląskie",2500.0,1900.0,600.0,37,True,"(50.2598987, 19.0215852)"
"Stary Sosnowiec, Sosnowiec, śląskie","Sosnowiec, śląskie",2360.0,1750.0,610.0,33,False,"(50.283912, 19.1126792)"
"Zagórze Północ, Sosnowiec, śląskie","Sosnowiec, śląskie",2700.0,1900.0,800.0,44,True,"(50.271229500000004, 19.215561953947084)"
"ul. Marii Konopnickiej, Centrum, Chorzów, śląskie","Chorzów, śląskie",1920.0,1500.0,420.0,28,True,"(50.288556299999996, 18.97044253093511)"
"Śródmieście, Katowice, śląskie","Katowice, śląskie",3000.0,2500.0,500.0,30,True,"(50.259795, 19.0217063)"
"ul. Henryka Dąbrowskiego 15, Śródmieście, Katowice, śląskie","Katowice, śląskie",2150.0,1900.0,250.0,25,True,"(50.2598987, 19.0215852)"
"ul. Bytkowska, Wełnowiec-Józefowiec, Katowice, śląskie","Katowice, śląskie",2880.0,2500.0,380.0,38,True,"(50.2598987, 19.0215852)"
"Śródmieście, Katowice, śląskie","Katowice, śląskie",3700.0,2800.0,900.0,52,True,"(50.259795, 19.0217063)"
"ul. Ludowa, Mydlice Południowe, Mydlice, Dąbrowa Górnicza, śląskie","Dąbrowa Górnicza, śląskie",2050.0,1500.0,550.0,36,True,"(50.369624, 19.289046489684473)"
"ul. Młodzieżowa, Klimzowiec, Centrum, Chorzów, śląskie","Chorzów, śląskie",2300.0,1700.0,600.0,39,True,"(50.288556299999996, 18.97044253093511)"
"Osiedle Tysiąclecia, Katowice, śląskie","Katowice, śląskie",2700.0,2300.0,400.0,40,True,"(50.2774664, 18.9730155)"
"Koszutka, Katowice, śląskie","Katowice, śląskie",1399.0,1099.0,300.0,17,False,"(50.2710047, 19.0194372)"
"ul. Stanisława Kobylińskiego, Śródmieście, Katowice, śląskie","Katowice, śląskie",2020.0,1600.0,420.0,24,True,"(50.2598987, 19.0215852)"
"ul. gen. Władysława Sikorskiego, Osiedle Paderewskiego-Muchowiec, Katowice, śląskie","Katowice, śląskie",2600.0,2600.0,,53,True,"(50.2598987, 19.0215852)"
"pl. Słowiański, Śródmieście, Bytom, śląskie","Bytom, śląskie",2299.0,2299.0,,87,True,"(50.3538219, 18.9239566)"
"ul. Antoniego Czechowa, Janów-Nikiszowiec, Katowice, śląskie","Katowice, śląskie",2220.0,1590.0,630.0,46,True,"(50.2598987, 19.0215852)"
"Góreckiego, Bogucice, Katowice, śląskie","Katowice, śląskie",2000.0,1999.0,1.0,28,True,"(50.2656036, 19.0318308)"
"Nova Środula, Środula, Sosnowiec, śląskie","Sosnowiec, śląskie",2400.0,2050.0,350.0,35,True,"(50.2841833, 19.1477363)"
"al. Legionów, Śródmieście, Bytom, śląskie","Bytom, śląskie",1380.0,1200.0,180.0,35,True,"(50.3535747, 18.9133593)"
